Country/Territory,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,country_code
Belize,120905.0,126373.59615384616,131842.1923076923,137310.78846153847,142779.38461538462,148247.98076923078,153716.57692307694,159185.17307692306,164653.76923076925,170122.36538461538,175590.96153846156,181059.5576923077,186528.15384615384,191996.75,197465.34615384616,202933.9423076923,208402.53846153847,213871.13461538465,219339.7307692308,224808.3269230769,230276.9230769231,235745.51923076925,241214.11538461535,246682.7115384616,252151.3076923077,257619.90384615384,263088.5,268557.0961538461,274025.6923076923,279494.2884615385,284962.8846153846,290431.48076923075,295900.07692307694,301368.6730769231,306837.26923076925,312305.8653846154,317774.4615384616,323243.05769230775,328711.6538461539,334180.25,339648.8461538462,345117.4423076923,350586.0384615385,356054.6346153846,361523.2307692308,366991.82692307694,372460.4230769231,377929.0192307693,383397.6153846154,388866.2115384616,394334.8076923077,399803.4038461539,405272.0,BZ
Benin,3023443.0,3222085.711538461,3420728.423076923,3619371.134615385,3818013.846153846,4016656.557692308,4215299.269230769,4413941.980769231,4612584.692307692,4811227.403846154,5009870.115384615,5208512.826923077,5407155.538461538,5605798.25,5804440.961538462,6003083.673076923,6201726.384615384,6400369.096153846,6599011.807692308,6797654.519230769,6996297.23076923,7194939.942307692,7393582.653846154,7592225.365384615,7790868.076923077,7989510.788461538,8188153.5,8386796.211538461,8585438.923076924,8784081.634615384,8982724.346153846,9181367.057692308,9380009.769230768,9578652.480769232,9777295.192307692,9975937.903846154,10174580.615384616,10373223.326923076,10571866.038461538,10770508.75,10969151.46153846,11167794.173076924,11366436.884615384,11565079.596153846,11763722.307692308,11962365.019230768,12161007.73076923,12359650.442307692,12558293.153846154,12756935.865384616,12955578.576923076,13154221.288461538,13352864.0,BJ
Bermuda,52019.0,52252.94230769231,52486.88461538462,52720.82692307692,52954.769230769234,53188.71153846154,53422.65384615384,53656.59615384616,53890.53846153846,54124.480769230766,54358.42307692308,54592.36538461538,54826.307692307695,55060.25,55294.19230769231,55528.13461538462,55762.07692307692,55996.019230769234,56229.96153846154,56463.90384615384,56697.84615384616,56931.78846153846,57165.730769230766,57399.67307692308,57633.61538461538,57867.557692307695,58101.5,58335.44230769231,58569.38461538462,58803.32692307692,59037.269230769234,59271.21153846154,59505.15384615384,59739.09615384616,59973.03846153846,60206.980769230766,60440.92307692308,60674.86538461538,60908.80769230769,61142.75,61376.69230769231,61610.63461538462,61844.57692307692,62078.519230769234,62312.46153846154,62546.40384615384,62780.34615384616,63014.28846153846,63248.230769230766,63482.17307692308,63716.11538461538,63950.05769230769,64184.0,BM
Bhutan,298894.0,308193.25,317492.5,326791.75,336091.0,345390.25,354689.5,363988.75,373288.0,382587.25,391886.5,401185.75,410485.0,419784.25,429083.5,438382.75,447682.0,456981.25,466280.5,475579.75,484879.0,494178.25,503477.5,512776.75,522076.0,531375.25,540674.5,549973.75,559273.0,568572.25,577871.5,587170.75,596470.0,605769.25,615068.5,624367.75,633667.0,642966.25,652265.5,661564.75,670864.0,680163.25,689462.5,698761.75,708061.0,717360.25,726659.5,735958.75,745258.0,754557.25,763856.5,773155.75,782455.0,BT
Bolivia,4585693.0,4732585.634615385,4879478.269230769,5026370.903846154,5173263.538461538,5320156.173076923,5467048.807692308,5613941.442307692,5760834.076923077,5907726.711538462,6054619.346153846,6201511.980769231,6348404.615384616,6495297.25,6642189.884615385,6789082.51923077,6935975.153846154,7082867.788461538,7229760.423076923,7376653.057692308,7523545.692307692,7670438.326923077,7817330.961538462,7964223.596153846,8111116.230769231,8258008.865384616,8404901.5,8551794.134615384,8698686.76923077,8845579.403846154,8992472.03846154,9139364.673076924,9286257.307692308,9433149.942307692,9580042.576923076,9726935.211538462,9873827.846153846,10020720.480769232,10167613.115384616,10314505.75,10461398.384615384,10608291.01923077,10755183.653846154,10902076.28846154,11048968.923076924,11195861.557692308,11342754.192307692,11489646.826923076,11636539.461538462,11783432.096153848,11930324.730769232,12077217.365384616,12224110.0,BO
Bosnia and Herzegovina,3815561.0,3804368.019230769,3793175.0384615385,3781982.057692308,3770789.076923077,3759596.096153846,3748403.115384616,3737210.134615385,3726017.153846154,3714824.173076923,3703631.192307693,3692438.2115384615,3681245.230769231,3670052.25,3658859.269230769,3647666.2884615385,3636473.307692308,3625280.326923077,3614087.346153846,3602894.365384616,3591701.3846153845,3580508.403846154,3569315.423076923,3558122.4423076925,3546929.461538461,3535736.480769231,3524543.5,3513350.519230769,3502157.5384615385,3490964.5576923075,3479771.576923077,3468578.596153846,3457385.6153846155,3446192.6346153845,3434999.653846154,3423806.673076923,3412613.6923076925,3401420.711538461,3390227.730769231,3379034.75,3367841.769230769,3356648.7884615385,3345455.8076923075,3334262.826923077,3323069.846153846,3311876.8653846155,3300683.8846153845,3289490.903846154,3278297.923076923,3267104.942307692,3255911.961538461,3244718.980769231,3233526.0,BA
Botswana,592244.0,631437.3076923077,670630.6153846154,709823.9230769231,749017.2307692308,788210.5384615385,827403.8461538462,866597.1538461539,905790.4615384616,944983.7692307692,984177.076923077,1023370.3846153846,1062563.6923076925,1101757.0,1140950.3076923075,1180143.6153846155,1219336.923076923,1258530.230769231,1297723.5384615385,1336916.8461538462,1376110.153846154,1415303.4615384615,1454496.7692307692,1493690.076923077,1532883.3846153847,1572076.6923076925,1611270.0,1650463.3076923075,1689656.6153846155,1728849.9230769232,1768043.2307692308,1807236.5384615385,1846429.8461538465,1885623.153846154,1924816.4615384615,1964009.7692307688,2003203.076923077,2042396.3846153847,2081589.6923076925,2120783.0,2159976.307692308,2199169.6153846155,2238362.923076923,2277556.230769231,2316749.5384615385,2355942.846153846,2395136.153846154,2434329.461538462,2473522.769230769,2512716.076923077,2551909.384615385,2591102.6923076925,2630296.0,BW
Brazil,96369875.0,98657252.3653846,100944629.73076925,103232007.09615384,105519384.46153846,107806761.82692309,110094139.1923077,112381516.5576923,114668893.92307691,116956271.28846154,119243648.65384616,121531026.01923075,123818403.3846154,126105780.75,128393158.1153846,130680535.48076925,132967912.84615386,135255290.21153846,137542667.57692307,139830044.9423077,142117422.30769232,144404799.67307693,146692177.03846154,148979554.40384614,151266931.76923078,153554309.1346154,155841686.5,158129063.8653846,160416441.23076922,162703818.59615386,164991195.96153846,167278573.32692307,169565950.6923077,171853328.0576923,174140705.42307693,176428082.78846154,178715460.15384614,181002837.5192308,183290214.8846154,185577592.25,187864969.61538464,190152346.9807692,192439724.34615383,194727101.7115385,197014479.07692307,199301856.4423077,201589233.80769232,203876611.17307693,206163988.53846157,208451365.9038461,210738743.2692308,213026120.6346154,215313498.0,BR
British Virgin Islands,9581.0,9998.76923076923,10416.53846153846,10834.307692307691,11252.076923076924,11669.846153846154,12087.615384615385,12505.384615384615,12923.153846153846,13340.923076923078,13758.692307692309,14176.46153846154,14594.23076923077,15012.0,15429.76923076923,15847.53846153846,16265.307692307691,16683.076923076922,17100.846153846156,17518.615384615383,17936.384615384617,18354.153846153844,18771.92307692308,19189.69230769231,19607.46153846154,20025.23076923077,20443.0,20860.76923076923,21278.53846153846,21696.30769230769,22114.07692307692,22531.84615384616,22949.615384615383,23367.384615384617,23785.153846153844,24202.92307692308,24620.69230769231,25038.46153846154,25456.23076923077,25874.0,26291.76923076923,26709.53846153846,27127.30769230769,27545.07692307692,27962.846153846152,28380.615384615387,28798.384615384617,29216.153846153848,29633.92307692308,30051.69230769231,30469.46153846154,30887.23076923077,31305.0,VG
Brunei,133343.0,139413.36538461538,145483.73076923078,151554.09615384616,157624.46153846153,163694.82692307694,169765.1923076923,175835.5576923077,181905.92307692303,187976.28846153847,194046.65384615384,200117.01923076925,206187.38461538465,212257.75,218328.11538461535,224398.48076923075,230468.84615384616,236539.2115384616,242609.5769230769,248679.9423076923,254750.3076923077,260820.67307692303,266891.0384615385,272961.4038461539,279031.76923076925,285102.1346153846,291172.5,297242.8653846154,303313.23076923075,309383.5961538461,315453.9615384615,321524.32692307694,327594.6923076923,333665.0576923077,339735.4230769231,345805.7884615385,351876.1538461539,357946.51923076925,364016.8846153846,370087.25,376157.6153846154,382227.9807692308,388298.3461538461,394368.7115384615,400439.07692307694,406509.4423076923,412579.8076923077,418650.1730769231,424720.5384615385,430790.9038461539,436861.2692307693,442931.6346153846,449002.0,BN
